,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,Left-Amygdala,Right-Amygdala,Left-Hippocampus,Right-Hippocampus
ctx-lh-lateralorbitofrontal,79.21575979563663,52.7116362864975,60.16374822100099,122.30370640336294,48.3919063480661,85.6413253050185,110.10184648769521,66.89332253670766,93.78708119991794,118.64567670168181,0.0,109.39322008241645,34.68308809780351,67.75954988044121,63.58990957691322,100.13409309520908,37.740119236695584,19.08026729372521,21.054134985793173,123.01965940450332,91.25785774386773,78.1490665331327,83.33724617480469,110.23872550061526,39.38701054916455,36.71725207582942,64.30549432202508,119.82160322746479,47.7027944674104,91.27714171686141,43.63183012434844,29.5018067243347,59.160092968148724,19.395272619893746,114.04944804776567,56.06528872662656,97.7454684371608,122.33722491539524,69.6212367026039,107.91967661182089,135.24021813055464,115.90926019951986,94.94817849753623,140.48835040671523,57.148373555159026,108.37378188473447,45.30205955583035,118.39576259309283,81.99363755804471,100.23510662437587,98.68878659705975,85.49091530683245,92.57535633201742,127.1988860014112,122.8383352215423,77.2083972117023,113.28325825116436,111.18001888828766,43.71586210976514,86.8234795432664,83.3789937574207,130.47573184312859,112.03774631792625,129.8712308403982,55.966209448201866,78.04265884758155,100.97245465967438,81.39555638976859,41.416139366193946,69.86799410316571,52.25893799150534,83.0943836850602
ctx-lh-lingual,60.71243694664216,98.08669634563088,110.69778678907723,22.93468988235943,70.15696686716153,32.046840717924134,54.48853090330111,70.84490101623405,36.124783736376884,42.42640687119285,109.39322008241645,0.0,117.72425408555367,79.40403012442127,48.61069841094653,77.42092740338364,110.91438139393827,128.3199127181748,117.8516016013359,18.788294228055936,88.87631855561975,67.45368781616021,94.87887014504336,49.4064773081425,112.22299229658778,131.0,123.47469376354006,68.5638388656878,89.19641248391103,76.6355009117837,138.56767299770897,97.10303805751909,68.67313885355759,94.15412895885129,61.7980582219215,98.26494797230598,107.80074211247342,22.360679774997898,79.35993951610598,45.39823785126467,59.472682804797024,80.84553172563095,37.013511046643494,43.70354676682432,115.10864433221339,8.94427190999916,119.02940813093208,88.05679985100527,52.16320542297991,78.7210264160726,108.01851693112621,124.96799590295109,119.23086848631104,21.656407827707714,93.08598175880189,68.62215385719105,98.08669634563088,46.04345773288535,111.33283433021904,128.5457117137713,121.35073135337916,63.74950980203691,92.84934033152847,85.37564055396598,138.0470934138057,108.65081684000356,68.93475175845634,96.77809669548166,71.8192174839019,73.63423117002037,59.799665550904216,62.6418390534633
ctx-lh-medialorbitofrontal,103.96634070698073,47.05316142407437,77.18160402582988,130.54118124178285,57.3149195236284,100.0399920031984,129.88456413292536,92.62828941527529,99.9699954986495,137.5027272456805,34.68308809780351,117.72425408555367,0.0,97.08758932015976,75.41883053985921,104.69479452198185,65.70388116390082,40.2119385257662,49.85980344927164,134.320512208672,110.45361017187261,80.97530487747484,100.32447358446493,119.30632841555388,20.71231517720798,44.06812907306141,66.49060083951716,132.68760303811354,79.06326580656784,114.76062042355818,21.6794833886788,42.02380277890139,83.92258337301111,48.92851929090027,103.49879226348489,47.52893855326458,79.7370679169983,129.47200469599596,57.0350769263968,103.00485425454472,129.89996150884727,100.09495491781792,100.44401425669923,139.33054223679747,25.709920264364882,114.10083259994205,11.090536506409418,99.76472322419383,76.90253571892151,102.22524150130437,74.31688906298487,53.16013544000805,63.33245613427605,131.6282644419503,111.41813137905338,78.90500617831546,100.16985574512923,115.52921708381824,20.591260281974,58.60887304837041,70.63285354564121,132.85706605220514,91.35644476444998,116.45600027478189,23.874672772626646,52.78257288158659,88.24397996464121,57.41950887982237,54.67174773134658,57.8013840664737,69.6491205974634,72.90404652692469
ctx-lh-middletemporal,26.324893162176366,91.9565114605812,78.86063656856949,91.58056562393574,57.62811813689564,50.695167422546305,63.702433234531945,16.55294535724685,79.33473388119481,64.69157595854347,67.75954988044121,79.40403012442127,97.08758932015976,0.0,50.25932749251625,99.25220400575496,60.687725282795036,80.65358020571685,68.38128398911503,83.6181798414675,73.30757123244501,84.91760712596653,77.77531742140305,88.66791979064357,96.64884893261792,93.70165420097983,103.2811696293182,93.34880824091971,25.553864678361276,53.96295025292817,110.98648566379602,64.68384651518491,29.68164415931166,50.41825066382212,120.22478945708326,95.60857702110204,131.55227098001768,93.64293886887575,94.37690395430441,103.75933692926145,129.0891165048394,129.77287852244012,81.50460109711598,122.11879462228572,110.89183919477574,84.10112960002381,105.3612832116238,137.09485767161362,88.09086218218096,103.32473082471591,135.8712625980932,135.83077707206124,138.03260484392808,100.91580649234291,137.6880532217665,86.1974477580398,134.58826100369973,96.56603957913983,99.80981915623332,137.66989503882104,124.02015965156633,117.06835610018618,136.5942897781602,141.56977078458522,120.7393887677091,118.95377253370319,115.58979193683152,118.536914081648,51.778373863998475,93.08598175880189,39.8622628559895,97.3498844375277
ctx-lh-parahippocampal,46.57252408878007,69.87131027825369,84.43340571124678,66.61080993352356,22.9128784747792,24.819347291981714,69.58448102845921,38.52272056851645,49.61854492022111,65.07687761409578,63.58990957691322,48.61069841094653,75.41883053985921,50.25932749251625,0.0,81.4186710773395,74.30343195303969,82.37111144084436,75.43208866258443,62.91263784010332,82.55906976220118,59.74110812497538,83.24061508662703,70.83784299369935,74.78636239315294,91.48770409186143,96.21330469326995,87.37276463521113,53.319789947073126,71.65193647069142,95.61380653441218,48.76474136094644,41.701318923986086,50.21951811795888,73.10266752998827,71.18286310622803,96.84007434941384,66.41535966928132,48.91829923454004,55.5517776493246,89.07300376657341,79.51729371652434,51.19570294468082,82.83115355951527,77.95511529078769,48.36320915737499,79.21489758877429,87.29833904490967,38.02630668366309,82.15838362577492,94.20721840708386,97.02576977277738,97.87236586493657,67.66091929614909,101.41991914806479,59.84981202978001,99.24716620639605,69.53416426476987,74.77967638335967,104.24490395218368,101.45442326483355,91.53687781435414,88.53247991556545,98.6610358753647,97.92854537876073,77.6273147803014,69.53416426476987,75.02666192761077,23.68543856465402,46.314144707637645,14.52583904633395,47.94788837894741
ctx-lh-paracentral,79.46068210127572,60.22457969965419,64.31174076325411,68.43975452907469,93.66963221877195,84.85870609430714,68.27151675479314,101.09896141899777,42.1070065428546,93.81897462667133,100.13409309520908,77.42092740338364,104.69479452198185,99.25220400575496,81.4186710773395,0.0,85.74380444090407,114.37657102746174,98.28021163998376,85.34049449118513,47.21228653645151,26.076809620810597,44.11349000022555,35.397740040855716,87.3269717784832,97.70875088752287,69.45502141674135,40.50925820105819,89.49860334105779,62.82515419798029,119.0,108.5679510721281,70.35623639735144,88.02840450672726,78.36453279386026,60.51446108162907,65.12296062065974,68.51277253184256,99.93998198919189,91.8313671900838,72.18725649309579,109.66312051004202,41.376321731154405,94.87887014504336,108.5080642164443,75.59100475585703,105.13800454640558,104.76640682967036,82.28608630868283,7.681145747868608,86.45229898620394,113.81124724736128,100.46890066085126,82.38325072488946,54.56189146281496,28.0178514522438,54.08326913195984,37.17526059088221,88.14193099768123,95.53009996854395,65.46754921333164,42.16633728461603,95.524865872714,73.60027173862879,119.30213744941874,118.32582135780845,70.09992867328754,91.32360045464699,88.64536084872124,90.12213934433647,81.57205403813245,83.67795408588812
ctx-lh-parsopercularis,67.27555276621665,55.74047003748713,30.72458299147443,118.13551540497888,70.09992867328754,89.56003573022959,93.45052166788584,68.4178339323893,89.9166280506559,111.20251795710384,37.740119236695584,110.91438139393827,65.70388116390082,60.687725282795036,74.30343195303969,85.74380444090407,0.0,42.49705872175156,21.047565179849187,120.71039723238425,62.8728876384726,71.66589146867567,54.8270006474912,98.22932352408826,58.80476171195663,38.61346915261564,50.75431016179808,100.5236290630218,35.185224171518364,66.47555941848101,71.08445681019164,61.7980582219215,46.58325879540846,30.215889859476256,125.25573839150046,60.67948582511226,103.38762014864255,119.20570456148481,96.22889378975526,122.24974437601087,138.08330818748513,136.9598481307569,91.25787637239867,146.33523157462798,87.78382538941898,111.74077143102244,74.73954776421918,137.8985134075056,98.76740352970711,88.19863944528849,114.21908772179893,111.89727431890377,113.11056537742175,129.06974858579372,123.01625908797584,71.89575787207477,114.33722053644648,104.2401074443038,64.59876159803684,102.65476121447071,81.8413098624405,121.35073135337916,129.9730741346068,136.1506518530117,84.1486779456457,109.42120452636226,112.52555265360841,103.32473082471591,60.54750201288241,93.17725044236924,61.00819617067857,101.65628362280415
ctx-lh-parsorbitalis,94.50925880568528,63.97655820689325,66.19667665374146,140.84743519141554,66.36264009214823,103.98557592281729,125.97221915962265,81.6394512475433,111.8436408563312,135.7276685130928,19.08026729372521,128.3199127181748,40.2119385257662,80.65358020571685,82.37111144084436,114.37657102746174,42.49705872175156,0.0,21.470910553583888,141.59449141827517,102.7277956543408,93.84028985462481,93.72299611087985,127.10232098588916,46.968074263269514,32.01562118716424,67.80855403265875,135.04443713089407,59.413803110051795,104.31203190428226,38.92300091205713,43.55456348076513,74.4983221287567,35.81898937714463,131.51805959639154,67.36467917239716,108.90821823902914,140.9751751195933,85.38149682454625,126.35268101627285,153.1437233450983,132.14386100004796,112.96902230257638,159.42396306703708,65.26867548832288,127.41271522104849,51.088159097779204,133.99253710561644,100.20479030465559,114.49454135459908,110.40833301884419,93.34345183246653,102.04900783447137,146.2087548678259,137.21151555172037,92.84934033152847,126.56618821786489,128.6157066613561,51.894122981316485,93.4558719396486,90.2884267223657,147.220922426128,126.74778104566565,145.74292435655323,55.362442142665635,88.96628574915331,117.58401251870936,94.41398201537736,59.91660871578097,86.38286867197685,70.63993204979744,100.46890066085126
ctx-lh-parstriangularis,79.25276020429824,55.46169849544819,46.50806381693394,127.98046725965646,64.8459713474939,94.64671151181112,108.71062505569546,72.48448109768049,98.8635423197045,122.21702009131134,21.054134985793173,117.8516016013359,49.85980344927164,68.38128398911503,75.43208866258443,98.28021163998376,21.047565179849187,21.470910553583888,0.0,129.6919426949878,82.13403679352427,80.21845174272562,73.35529974037323,111.20251795710384,48.25971404805462,27.85677655436824,55.308227236099334,116.76472069936193,44.14748010928823,84.68766143896052,52.97169055259611,49.193495504995376,58.31809324729333,25.41653005427767,126.24579200908045,59.841457201508724,103.39245620450265,128.53404218338423,88.24397996464121,122.23747379588634,143.81933110677437,132.57827876390613,100.09495491781792,151.25144627407698,74.06078584514209,117.71575935277315,60.0416522091123,133.90668392578468,96.93296652842108,99.39818911831343,109.74971526158963,100.40916292848975,105.09519494249011,136.01470508735443,127.96093153771584,79.7370679169983,118.09318354587617,114.70396680150168,54.092513345194085,95.25229656024048,82.80700453464067,132.75918047351755,126.15070352558483,138.88844444373333,67.66091929614909,97.19053451854249,112.6454615153225,96.22369770487933,56.32938842203065,87.02298546935747,62.457985878508765,98.49365461794989
ctx-lh-pericalcarine,62.96824596572466,113.03096920755833,119.9458211026962,21.42428528562855,85.32877591996736,41.593268686170845,48.68264577855234,76.90253571892151,47.81213235152768,31.12876483254676,123.01965940450332,18.788294228055936,134.320512208672,83.6181798414675,62.91263784010332,85.34049449118513,120.71039723238425,141.59449141827517,129.6919426949878,0.0,91.85858696931932,79.91870869827665,100.44401425669923,52.51666402200353,128.42507543311004,144.37451298619158,135.71661652133832,67.06713054842886,96.64884893261792,76.83749084919418,154.7578754054216,111.60645142642964,75.9012516365837,106.42368157510809,77.85884663928692,113.5825690852254,123.42609124492276,23.345235059857504,97.66780431646859,62.27358990776106,68.99275324264136,97.94386147176351,48.774993593028796,50.049975024968795,133.15029102484155,26.551836094703507,136.2827942184926,105.23782589924595,70.8801805866774,87.840765023991,125.59060474414477,143.58969322343438,137.45180973708568,26.38181191654584,105.51777101512333,81.57205403813245,111.72287142747452,53.1883445878888,128.00781226159597,145.96232390586277,135.69450983735487,67.47592163134935,110.39021695784459,98.80283396745257,155.2610704587599,127.20849028268515,86.07554821202127,115.35597080342222,86.3075894692929,92.22255689363638,72.3671196055225,81.4186710773395
