Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0.0125,3.1,60.462,89.25,5.8125,4.525,9.15,69.2,15.05,0,0.175,28.95,1.5875,0.325,0.05,0,8.6625,0.4375,0.0875,10.688,0.2125,0.8375,0.1625,3.35,1.4125,3.475,4.175,2.7875,123.35,7.4,0,2.95,0.825,1.575,0.125,1.0875,0.1875,2.1375,0.7375,8.275,0.7125,11.775,134.54,4.725,160.2,2.4125,2.425,0.4875,41.288,3,0.05,36.737,0.025,1.7,0.175,0.025,0,0.025,0.15,0,0.3125,0.0125,7.4375,0.0625,88.2,0.1125,0.0125,0.425,0.05,1.675,0.3375,0.0375,0.2375,0.65,0.375,1.1625,10.412,12.725,11.312,0.2125,0.1,0.0125,12,0.0125,0.0125,1.025
0.0375,24.875,3.625,89.875,2.4625,13.775,1.4375,0.0875,27.725,0.0125,2.875,0.2375,5.6375,0.4875,0.6125,0.0125,0.0625,2.4375,345.18,0.425,47.95,4.0625,0.1625,24.762,442.85,618.56,17.875,108.11,16.587,35.35,2.95,0,1.3375,0.175,43.375,14.9,33.125,22.4,6.3,2.4125,19.6,38.025,0.275,80.85,10.963,32.5,450.1,158.68,0.975,42.438,0.375,42.438,0.4625,0.0375,0.6875,0.2875,0,0.975,9.0875,2.3875,2.65,0.8,0.0375,0.0875,0.0625,2.5375,0.075,0.45,0.05,0.0625,0.05,0.35,3.1,0.325,0.3875,5.0625,0.0375,0.9375,0.6625,13.988,3.1625,6.6875,0.075,0.025,0.1625,0.8875
0.4,3.9875,0.3625,2.7375,0.475,193.39,3.6625,0.0875,1.575,0.0875,0.15,0.1375,0.1625,0.0125,0.075,0,0,0.0625,0.0875,1.2625,0.1,4.9625,85.125,154.06,3.7375,5.2125,61.638,8.35,0.1875,104.76,0.825,1.3375,0,0.0875,0.0125,0.025,0.0375,7.9625,0.0375,1.55,0.0375,23.6,0.975,0.3875,6.5875,5.7875,2.1625,0.5625,0.2,9.7625,0.3625,2.9375,0.0125,0.025,0.05,0.05,0,0.1125,0.45,0.175,0.325,0.2125,0,0.05,0.0375,0.05,0.0125,0.125,0.025,0,0.0125,0.1125,0.4,0.0875,0.325,0.325,0,0.0875,0.175,0.9625,0.2125,0.25,0.025,0,0.0125,0.0125
0,20.85,7.6375,12.137,2.4625,0.0375,0.0125,0.1875,3.9125,0,1.0375,1.2,1.55,0.7125,0.05,0,0.075,0.375,0,4.625,0.175,0.025,0.0125,0.1125,0.6,0.0875,1.5625,0.0875,1.0125,0.0125,1.575,0.175,0.0875,0,0.65,0.175,0.95,0,143.99,143.09,148.91,108.04,0.825,1.8,186.41,40.375,0.9375,5.2375,0.7375,0,0.7125,2.3375,0.0625,0.0875,0.95,0.0125,0,0.025,0.25,0.2125,0.575,0.05,0.1,0.0125,0.1625,0.5375,0.05,22.512,0.2,0.1375,0.1625,0.0125,31.488,9.7375,65.938,1.35,0.025,0.5,4.1375,1.1375,0.7375,9.575,0.05,0,0.2125,0.275
0,27,33.688,57.95,0.65,0.1,0,0.0125,1.25,0,1.325,5.05,0.6625,0.0625,0,0,0,0.125,6.9,0.525,264.59,0.0375,0,1.0625,15.887,16.325,0.15,0.825,30.738,0.0125,0.125,43.375,0.0125,0.65,0,20.275,277.89,0.0125,25.6,0.6625,327.98,2.075,0.05,221.72,95.237,9.5375,32.013,65.275,0.25,0.425,1.675,164.66,0.025,1.3875,25.562,0,0,0.0125,0.4625,0.1375,0,0.025,0.0375,0,0.075,0.1625,0,0.275,6.85,0.3,1.5875,0,0.5125,0.1,4.025,0.1,0.15,23.337,27.425,0.25,0.1,0.25,0.1,0,0,0.1375
0,21.637,69.188,47.837,0.35,0.0125,0,0.0875,0.2625,0,0.275,3.4125,0.5875,0.0125,0.025,0,0.0125,0.075,1.775,0.05,1.3125,0.05,0,0.3125,1.775,4.6,0.0875,1.2875,188.35,0.975,1.0875,14.9,0.025,0.175,20.275,0,126.71,0.5375,2.2375,0.1,3.55,0.4125,0.35,98.662,6.6875,0.975,13,4.625,1.2375,0.2875,0.825,21.512,0,0.2875,0.125,0.0125,0,0.0125,0.0375,0,0.125,0.025,0.5375,0.025,7.475,0.025,0.0125,0.3875,0.1,3.8375,0.625,0.0125,0.4125,0.1125,0.35,0.325,0.75,15.387,15.512,0.0875,0,0.1375,3.225,0,0,0.1
0,83.138,69.737,145.75,1,0.05,0.0125,0.0125,1.2125,0,0.825,2.0375,0.8625,0.075,0.0125,0,0.0125,0.0875,5.0625,0.2875,6.6375,0.0375,0,1.2625,4.025,11.4,0.3625,0.525,119.36,0.1875,0.1875,33.125,0.0375,0.95,277.89,126.71,0,0.1125,6.35,0.4,13.463,0.9125,0.225,243.65,19.762,3.0375,34.312,16.012,0.4875,0.35,2.4375,163.01,0.0375,0.4875,0.6125,0,0,0.025,0.0625,0.0125,0.0125,0,0.075,0,0.55,0.05,0,0.5,0.5875,1.2375,1.75,0,0.425,0.175,0.7375,0.15,0.8375,15.725,14.375,0.075,0.125,0.2375,0.7375,0,0,0.05
0.1875,23.988,0.2125,49.888,3.3625,17.625,0.575,0.15,23.163,0.025,0.225,0,0.6125,0.0875,0.5875,0,0.025,0.3375,0.425,0.0125,0.05,497.43,0.475,23.137,3.125,13.25,20.975,272.5,1.225,397.94,2.1375,22.4,7.9625,0,0.0125,0.5375,0.1125,0,0.0125,0.0125,0.1,49.025,0.05,1.225,0.975,94.662,36.9,0.275,0.1875,3.1,0.3,10.012,0,0,0.0375,3.5,0.0375,1.5875,2.375,1.0625,4.3625,7.3625,0,1.7875,0,0.6,0.1,0.025,0,0.0125,0,3.6875,0.05,0,0.0875,7.075,0.0125,0.0125,0.05,7.125,0.1375,0.025,0.0125,0.05,0.0375,0.125
0.0125,231.7,34.725,265.71,49.862,0.2375,0,0.025,32.85,0.025,1.85,0.8,4.25,0.6875,0.3375,0.025,0.075,1.275,0.5125,0.275,36.1,0.025,0.0875,3.65,32.9,9.4375,1.425,1.5875,3.875,0.0125,0.7375,6.3,0.0375,143.99,25.6,2.2375,6.35,0.0125,0,8.25,1140.4,11.938,0.075,14.162,30.775,445.18,11.05,591.29,0.075,0.0875,5.1375,199.79,1.2375,0.025,1.8,0.1,0.025,0.325,2.55,1.7625,3.3875,0.1875,0.2875,0.0375,0.3625,8.125,0.2625,50.212,1.0125,0.1625,0.5,0.025,144.84,10.162,54.538,14.65,0.025,0.5875,1.975,13,14.875,71.188,0.05,0.0125,2.8,2.7875
0,7.05,4.975,8.3125,0.55,1.025,0.0125,5.1625,0.9875,0,0.4375,1.8375,0.5875,0.125,0.025,0.0125,0.325,0.225,0.325,151.82,0.3375,0.1375,0.0875,0.1875,1.175,1.025,121.24,0.0875,2.175,0.15,8.275,2.4125,1.55,143.09,0.6625,0.1,0.4,0.0125,8.25,0,6.5875,236.51,19.887,2.5375,143.49,9.4,12.725,17.075,2.9,0.0625,3.425,2.325,0.0625,0.875,2.4375,0.0125,0,0.025,0.25,0.225,1.3375,0.025,0.4625,0,1.275,0.4125,0.0125,4.375,0.1125,0.05,0.05,0.025,7.0375,24.4,16.238,1.4,0.125,0.9875,5.9875,1.175,0.6,4.625,0.3,0,0.15,0.1
0,166.4,93.075,205.11,34.087,0.025,0,0.05,36.425,0,3.9625,4.1375,6.375,1.3125,0.1,0.0125,0.1875,1.425,2.5,1.6625,581.94,0.1625,0.0125,2.475,56.337,14.537,0.475,2.275,8.1,0.1,0.7125,19.6,0.0375,148.91,327.98,3.55,13.463,0.1,1140.4,6.5875,0,4.9375,0.2375,68.825,534.21,105.97,10.588,121.22,0.2625,0.275,1.2875,171.88,0.125,1.2125,53.638,0.025,0.0125,0.1125,2.3,0.4375,0.8375,0.175,0.2,0,0.2625,0.7875,0.2,83.062,4.2125,0.0375,0.225,0,30.575,18.562,316.41,4.925,0.2375,3.6875,141.34,3.075,1.4875,5.2875,0.0625,0,0.5125,1.175
0.225,66.1,13.175,53.9,8.65,21.113,0.225,5.45,22.525,0.075,7.875,2.375,13.675,1.3125,2.0625,0.05,0.525,6.125,5.9625,68.975,2.375,136.51,2.1875,22.938,39.638,55.513,426.74,35.663,2.7375,56.925,11.775,38.025,23.6,108.04,2.075,0.4125,0.9125,49.025,11.938,236.51,4.9375,0,29.863,13.113,196.86,394.79,76.3,48.388,5.05,1.825,15.037,11.137,0.625,0.4375,1.8875,5.875,0,5.95,28.887,10.562,13.15,6.825,0.625,2.35,1.6625,5.1375,0.175,4.1125,0.1875,0.25,0.1375,6.2,21.1,3.725,9.475,39.45,0.1875,1.95,3.65,47.275,8.6375,25.062,0.3,0.1125,1.0375,2.35
0,1.3,7.525,6.3875,0.0125,0.75,0.025,43.65,0.5875,0,0.525,5,0.9375,0.025,0.0125,0,3.8625,0.0375,0.075,113.41,0,0.05,0.1625,0.1375,0.1625,0.175,12,0.1375,7.2625,0.425,134.54,0.275,0.975,0.825,0.05,0.35,0.225,0.05,0.075,19.887,0.2375,29.863,0,2.125,221.5,0.3375,0.35,0.4125,3.1375,0.05,0.05,2.6875,0.025,1.4625,0.35,0.0125,0,0,0.0625,0,0.0375,0.0125,1.275,0,13.338,0.0125,0,0.0125,0.175,0.7625,0.5625,0,0.0375,0.1375,0.125,0.075,12.55,10.775,10.012,0.0125,0.025,0.025,1.65,0,0,0.7375
0,47.825,145.94,147.34,1.5875,0.8375,0.075,0.5125,2.5125,0,7.3875,40.587,6.125,0.2375,0.0375,0.0125,0.325,0.7875,9.25,3,491.89,0.375,0.175,11.963,57.175,62.013,2.225,11.625,91.375,4.025,4.725,80.85,0.3875,1.8,221.72,98.662,243.65,1.225,14.162,2.5375,68.825,13.113,2.125,0,640.48,26.925,22.712,14.05,34.763,1.35,1.0375,30.363,0.1875,10.775,28.387,0,0,0.1,1.0375,0.4125,0.3875,0.1,1.4,0.05,28.913,0.675,0.05,1.1,20.413,11.675,22.538,0,0.925,0.775,3.2125,2.15,8.75,247.14,235.97,0.5375,0.4375,0.55,13.325,0,0.0125,0.6875
0,277.3,229.65,341.14,13.5,3.95,0.025,4.1125,37.7,0,12.275,57.087,8.4875,0.8375,0.025,0,1.6125,2.3,1.5875,264.51,502.68,0.625,0.925,4.625,44.587,6.275,38.737,6.15,20.275,2.975,160.2,10.963,6.5875,186.41,95.237,6.6875,19.762,0.975,30.775,143.49,534.21,196.86,221.5,640.48,0,108,10.363,6.975,45.612,0.55,0.9,54.462,0.1625,29.137,161.12,0.0875,0,0.3125,3.15,1.075,0.65,0.2125,2.1875,0.0625,16.712,0.95,0.0375,6.05,25.625,8.6625,15.625,0.075,1.4125,8.05,115.56,2.65,7.975,192.74,365.41,1.45,0.3875,0.65,12.262,0.025,0.0125,1.1375
0.3375,115.56,5.3875,204.05,23.675,15.525,0.2,0.3,43.85,0.0375,7.55,0.4,14.1,1.6125,2.8625,0.025,0.075,5.25,3.8125,1.0375,54.425,236.71,1.125,93.812,803.89,56.888,47.825,261.69,1.8125,44.212,2.4125,32.5,5.7875,40.375,9.5375,0.975,3.0375,94.662,445.18,9.4,105.97,394.79,0.3375,26.925,108,0,94.025,505.06,0.5,2.1125,14.738,29.538,3.6125,0.0875,1.5375,5.775,0.1,5.0875,47.85,12.613,19.012,10.213,0.3375,2.6875,1.5125,16.312,0.5375,6.2875,0.5375,0.025,0.3,7.625,34.788,3.7125,4.6125,59.65,0.0125,0.975,2.2375,90.838,31.062,65.575,0.0625,0.15,2.675,3.025
0.0375,41.775,6.7625,146.04,4.2375,9.975,5.6125,0.05,29.738,0.025,5.1125,0.125,5.0125,0.875,0.7,0,0.0125,3.7125,305.59,1.375,4.6125,15.7,1.2875,15.012,141.21,21.775,22.663,105.61,15.488,42.075,2.425,450.1,2.1625,0.9375,32.013,13,34.312,36.9,11.05,12.725,10.588,76.3,0.35,22.712,10.363,94.025,0,427.89,0.55,79.35,336.04,275.1,0.7125,0.025,1.075,0.1125,0,0.575,9.5875,1.825,3.2875,0.35,0.0375,0.0125,0.1375,3.4125,0.025,1.975,0.125,0.05,0.075,0.075,14.925,2.275,1.125,7.525,0.0125,0.425,0.3625,25.45,9.0875,23.137,0.0375,0.0375,0.9,1.275
0,54.763,24.087,126.76,7.1,5.3,0.0375,0.025,7,0.025,4.7875,0.4,5.6375,0.875,0.9,0.0125,0.025,2.6875,99.5,0.8375,27.725,0.3375,0.1,2.95,454.98,34.125,15.8,1.35,6.875,0.15,0.4875,158.68,0.5625,5.2375,65.275,4.625,16.012,0.275,591.29,17.075,121.22,48.388,0.4125,14.05,6.975,505.06,427.89,0,0.15,1.2125,39.55,207.86,1.55,0.0875,1.225,0.0375,0.0125,0.85,12.137,3.0125,5.85,0.425,0.0875,0.075,0.25,8.9,0.15,10.4,0.3625,0.075,0.1125,0.0625,53.538,6.025,6.7625,16.9,0,0.75,0.4625,39.7,22.488,64.963,0.0125,0.0875,2.825,2.2125
0,1.75,22.312,17.212,0.125,0.2125,0.0375,0.475,0.1,0,0.0125,3.975,0.1,0,0.0125,0,0.225,0.0125,0.1125,2.0375,0.3375,0.1125,0.025,0.2375,0.7,0.45,1.3875,0.55,13.262,0.9375,41.288,0.975,0.2,0.7375,0.25,1.2375,0.4875,0.1875,0.075,2.9,0.2625,5.05,3.1375,34.763,45.612,0.5,0.55,0.15,0,0.15,0,2.0375,0,0.375,0.0625,0,0,0.0125,0,0,0.0875,0,1.075,0,15.037,0,0.0125,0.0875,0.0625,0.825,0.075,0,0,0.1125,0.05,0.225,1.4625,5.5,7.7625,0.0375,0.0125,0,3.8125,0,0,0.025
0.0125,2.975,0.1125,26.575,2.8125,30.2,67.638,0.05,7.6625,0,0.1125,0.0125,0.15,0.0375,0.0125,0,0.0375,0.0125,0.4625,0.0375,0.975,0.65,44,47.85,4.7,57.462,0.6375,6.1875,1.2,15.637,3,42.438,9.7625,0,0.425,0.2875,0.35,3.1,0.0875,0.0625,0.275,1.825,0.05,1.35,0.55,2.1125,79.35,1.2125,0.15,0,0.0875,91.525,0.025,0,0,0,0,0,0.25,0.0875,0.125,0.0625,0,0.0125,0,0.0625,0,0,0,0,0,0.0125,0.0375,0,0,0.3125,0,0.0375,0.0375,0.325,0.0875,0.1125,0,0,0,0.0125
0,4.8125,1.675,23.075,0.2,0.0875,0,0,0.45,0.025,0.475,0.0125,0.2625,0.0125,0.025,0.0125,0,0.15,0.9375,0.0875,0,0.775,0.0375,0.425,6.9875,0.3625,3.0875,1.15,1.1125,0.325,0.05,0.375,0.3625,0.7125,1.675,0.825,2.4375,0.3,5.1375,3.425,1.2875,15.037,0.05,1.0375,0.9,14.738,336.04,39.55,0,0.0875,0,98.725,0,0.0125,0.0875,0.025,0,0.1,0.375,0.25,0.225,0.05,0,0,0,0.3,0,0.4,0.0125,0,0.0125,0,4.075,0.575,0.4625,0.8875,0,0.0375,0.0125,2.5625,1.0375,4.3125,0,0,0.1375,0.1375
0.0125,15.787,8.6,837.64,1.75,5.975,13.812,9.2125,3.1375,0,0.375,1.325,0.625,0.0875,0.025,0,0.4875,0.2625,5.075,1.0375,3.6,2.7875,20.825,13.875,32.5,20.012,2.125,39.5,229.54,26.325,36.737,42.438,2.9375,2.3375,164.66,21.512,163.01,10.012,199.79,2.325,171.88,11.137,2.6875,30.363,54.462,29.538,275.1,207.86,2.0375,91.525,98.725,0,0.0875,0.1875,0.9875,0.0125,0,0.0625,0.9125,0.225,0.2625,0.075,0.2125,0,0.6875,0.275,0.0125,1.1375,0.225,0.1,0.225,0.025,2.05,0.75,3.1875,0.9,0.125,1.9375,1.875,1.7625,0.5,1.975,0.125,0,0.075,0.125
0,0.8,0.0125,0.7125,0.3125,0.025,0,0,0.175,0,1.625,0.3625,5.9875,0.4875,0.35,0.0125,0.0125,0.9375,0.1125,0.0125,0.1125,0.0125,0,0.0875,0.5375,0.6875,0.2375,0.025,0,0.0125,0.025,0.4625,0.0125,0.0625,0.025,0,0.0375,0,1.2375,0.0625,0.125,0.625,0.025,0.1875,0.1625,3.6125,0.7125,1.55,0,0.025,0,0.0875,0,0.0875,0.6,0.5375,0.0125,0.4375,215.16,7.3125,4.1875,1.7125,2.05,0.2625,0.0375,303.21,0.225,0.325,1.175,2.3125,3.7375,0.4375,0.6875,0.825,0.6625,6.5375,0.0125,5.7,2.7125,3.075,216.01,92.425,0.0875,0.45,0.6125,5.25
0,1.6875,2.9875,1.25,0.0375,0,0,1.25,0.0875,0,3.9,3.7875,5.2,0.35,1.2,0.0125,6.6125,0.525,0.0125,7.9,4.0125,0,0,0.0125,0.0875,0.0625,0.125,0.0375,0.85,0,1.7,0.0375,0.025,0.0875,1.3875,0.2875,0.4875,0,0.025,0.875,1.2125,0.4375,1.4625,10.775,29.137,0.0875,0.025,0.0875,0.375,0,0.0125,0.1875,0.0875,0,0.525,0.025,0.1375,0.15,0.2125,0.1125,28.425,0.075,0.7375,0.2375,6.975,0.3,1.6125,12.912,0.9375,0.05,0.625,0.0125,0.275,183.11,1.275,90.138,127.29,5.15,357.99,1.4125,0.7375,0.425,1.825,0.0625,0.1,0.475
0,3.55,3.45,4.7875,0.1625,0.1,0,0.0375,0.3625,0,10.55,42.763,10.588,1.05,0.375,0.0125,0,3.2,0.0375,4.0875,100.51,0.0125,0.0125,0.1625,1.2,0.325,0.4375,0.2625,0.175,0,0.175,0.6875,0.05,0.95,25.562,0.125,0.6125,0.0375,1.8,2.4375,53.638,1.8875,0.35,28.387,161.12,1.5375,1.075,1.225,0.0625,0,0.0875,0.9875,0.6,0.525,0,0.125,0,6.675,132.22,20.7,0.05,6.675,0.2875,0.05,0.1,18.75,0.025,0.525,208.97,1.025,7.675,0.05,25.262,0.2,504.73,2.325,0.025,439.25,483.59,55.862,2.475,14.488,0.3625,0.225,0.05,1.1125
0.0125,0.35,0,0.175,0.0375,1.5375,0,0,0.075,0.1375,11.275,0.075,22.875,2.5,10.238,0.1875,0.0625,13.412,0,0,0.025,9.925,0,1.6,2.45,0.5,4.05,8.125,0,1.5375,0.025,0.2875,0.05,0.0125,0,0.0125,0,3.5,0.1,0.0125,0.025,5.875,0.0125,0,0.0875,5.775,0.1125,0.0375,0,0,0.025,0.0125,0.5375,0.025,0.125,0,0.2,7.6125,0.8875,2.925,22.55,94.45,0.6125,87,0.1375,6.325,3.6875,0.15,0.05,0.15,0,567.04,0.025,0.0375,0.0625,183.51,0,0.3625,0.7125,245.59,15.363,0.2125,0.125,0.35,0.575,4.825
0.475,0.0125,0,0.0125,0,0.025,0,0,0.0625,0.875,0.1375,0.0125,0.6,0.0625,125.46,44.913,0.0125,0.1,0,0,0,0,0,0.0125,0.0375,0,0.0375,0.025,0.0125,0,0,0,0,0,0,0,0,0.0375,0.025,0,0.0125,0,0,0,0,0.1,0,0.0125,0,0,0,0,0.0125,0.1375,0,0.2,0,41.938,1.05,2.9,2.3,0.7125,0.0125,1.075,0.05,0.1625,74.463,0.0125,0,0,0.05,0.225,0,0.2625,0.025,2.1375,0.0375,0.0375,0.6625,0.7375,0.2,0.0125,0,28.613,0,12.95
0,0.5,0,0.3375,0.15,0.525,0.0125,0.0125,0.1875,2.1125,3.9375,0.2,38.362,1.45,155.43,17.45,0.05,6.7,0.175,0,0.0375,1.4125,0.0375,1.45,3.275,1.3,1.8625,5.0375,0,0.65,0.025,0.975,0.1125,0.025,0.0125,0.0125,0.025,1.5875,0.325,0.025,0.1125,5.95,0,0.1,0.3125,5.0875,0.575,0.85,0.0125,0,0.1,0.0625,0.4375,0.15,6.675,7.6125,41.938,0,154.49,406.59,15.975,553.14,1.35,334.34,0.6125,25.413,133.78,0.325,0.4,0.375,0.2125,19.038,1.3,0.35,1.125,19.575,0.1875,5.1625,5.2125,116.86,10,0.85,0.6625,14.713,0.125,13.125
0.0375,6.1125,0.2625,6.4625,1.2375,1.2875,0,0.025,2.5875,0.5125,48.188,2.425,172.88,12.738,20.65,0.4375,0.075,44.288,2.1375,0.075,1.7375,1.9625,0.0875,3.625,22.087,14.475,5.9625,7.375,0.05,0.85,0.15,9.0875,0.45,0.25,0.4625,0.0375,0.0625,2.375,2.55,0.25,2.3,28.887,0.0625,1.0375,3.15,47.85,9.5875,12.137,0,0.25,0.375,0.9125,215.16,0.2125,132.22,0.8875,1.05,154.49,0,255.5,28.387,302.36,5.2375,2.225,0.975,514.05,3.2875,2.15,30.85,10.238,24.587,2.0625,39.7,0.9375,52.612,42.888,0.075,118.92,52.138,844.04,200.06,464.93,0.85,2.5625,3.6375,65.575
0,2.9875,0.1375,2.5,0.5625,0.2,0.025,0.0125,0.9375,0.2625,10.9,0.675,52.062,5.9625,83.975,15.475,0.1125,10.875,0.175,0.0125,0.4,0.675,0,2.0625,6.8,5.925,2.0375,2.9625,0.075,0.2125,0,2.3875,0.175,0.2125,0.1375,0,0.0125,1.0625,1.7625,0.225,0.4375,10.562,0,0.4125,1.075,12.613,1.825,3.0125,0,0.0875,0.25,0.225,7.3125,0.1125,20.7,2.925,2.9,406.59,255.5,0,20.725,170.1,4.5125,29.575,0.275,494.73,8.275,0.3625,2.6875,2.3,2.2,10.5,5.7625,0.3625,4.0625,42.888,0.0625,24.212,6.2,44.975,11.8,15.037,0.475,36.087,0.1375,19.738
0.025,2.9375,0.675,2.5625,0.65,1.3625,0.025,0.25,0.8875,0.425,15.338,2.0625,16.062,3.1625,48.5,0.25,0.625,10.725,0.4625,0.0375,0.2875,4.9,0.1125,2.825,7.3125,5.7625,33.263,9.4625,0.2625,2.65,0.3125,2.65,0.325,0.575,0,0.125,0.0125,4.3625,3.3875,1.3375,0.8375,13.15,0.0375,0.3875,0.65,19.012,3.2875,5.85,0.0875,0.125,0.225,0.2625,4.1875,28.425,0.05,22.55,2.3,15.975,28.387,20.725,0,24.837,0.5,60.675,2.0625,27.175,59.987,2.25,0.1875,0.15,0.25,16.45,1.7125,135.76,0.425,478.61,8.7875,1.7875,35,47.388,36.575,31.688,0.775,0.4125,2.525,3.4375
0.05,0.8625,0.0625,1.0375,0.1,1.225,0.0125,0.0125,0.5,0.575,28.163,0.225,140.56,4.625,24.3,0.4,0.075,49,0.0375,0,0.1125,6.5625,0.0125,3.8,6.0875,1.9625,5.3875,16.238,0,1.8625,0.0125,0.8,0.2125,0.05,0.025,0.025,0,7.3625,0.1875,0.025,0.175,6.825,0.0125,0.1,0.2125,10.213,0.35,0.425,0,0.0625,0.05,0.075,1.7125,0.075,6.675,94.45,0.7125,553.14,302.36,170.1,24.837,0,4.775,218.36,0.6125,89.025,6.625,0.4625,0.35,1.775,0.6,310.49,1.0125,0.0625,1.6875,35.775,0.0375,6.0875,6.7125,269.57,94.55,1.0375,0.6875,1.8375,0.4875,46.9
0,0.1,2.2,0.1,0.2875,0.025,0,1.3625,0.1,0,7.1875,24.925,175.81,3.7375,1.45,3.75,20.725,6.65,0,0.2125,0.1625,0,0,0.025,0.05,0.0625,0.1375,0.0375,1.0625,0.025,7.4375,0.0375,0,0.1,0.0375,0.5375,0.075,0,0.2875,0.4625,0.2,0.625,1.275,1.4,2.1875,0.3375,0.0375,0.0875,1.075,0,0,0.2125,2.05,0.7375,0.2875,0.6125,0.0125,1.35,5.2375,4.5125,0.5,4.775,0,6.3,106.2,25.288,0.075,0.3625,15.488,149.5,71.487,2.05,2.225,0.6,2.9,1.675,4.8,77.45,5.6375,2.575,24.712,13.25,19.887,1.525,1.0625,223.4
0,0.3125,0.0125,0.1,0.1125,1.2375,0,0.05,0.125,1.225,5.3875,0.0625,116.54,1.2,59.688,1,0.125,17.913,0,0,0,2.0125,0.0125,1.1375,1.3375,0.3125,1.9375,2.925,0,4.125,0.0625,0.0875,0.05,0.0125,0,0.025,0,1.7875,0.0375,0,0,2.35,0,0.05,0.0625,2.6875,0.0125,0.075,0,0.0125,0,0,0.2625,0.2375,0.05,87,1.075,334.34,2.225,29.575,60.675,218.36,6.3,0,0.6125,40.663,90.138,0,0.1,2.0375,0.5875,453.36,0,0.375,0.025,112.14,0.15,3.8625,2.4125,57.6,30.45,0.175,1.4625,4.15,0.075,26.312
0,0.1625,27.038,1.1875,0.1375,0.1125,0,7.875,0.3375,0,1.5625,66.213,39.225,0.35,2.2,0.05,59.95,2.775,0.0125,1.6625,0.2,0.05,0.0125,0.0375,0.0625,0.075,0.325,0.025,16.15,0.025,88.2,0.0625,0.0375,0.1625,0.075,7.475,0.55,0,0.3625,1.275,0.2625,1.6625,13.338,28.913,16.712,1.5125,0.1375,0.25,15.037,0,0,0.6875,0.0375,6.975,0.1,0.1375,0.05,0.6125,0.975,0.275,2.0625,0.6125,106.2,0.6125,0,2.5,0.2375,2.35,0.175,1.425,0.1375,0.1125,0.6375,4.4625,0.5,10.988,146.19,4.125,214.29,1.5875,1.675,0.3125,49.2,0.3125,0.0125,20.238
0,3.85,0.2,3,0.45,0.175,0.025,0,0.725,0.0125,30.762,2.0375,137.78,6.675,31.312,4.6875,0.1375,27.8,0.3375,0.025,0.6875,0.7125,0.0125,1.775,6.5375,4.725,1.7875,1.6375,0.0625,0.2,0.1125,2.5375,0.05,0.5375,0.1625,0.025,0.05,0.6,8.125,0.4125,0.7875,5.1375,0.0125,0.675,0.95,16.312,3.4125,8.9,0,0.0625,0.3,0.275,303.21,0.3,18.75,6.325,0.1625,25.413,514.05,494.73,27.175,89.025,25.288,40.663,2.5,0,2.275,2.0125,7.4375,13,18.5,22.887,5.475,5.2,6.225,46.825,0.075,47.562,14,33.7,368.5,101.04,1.475,38.487,0.575,52.962
